Rank,OrgRank,PosRank,Name,Org,Pos
1,1,1,Konnor Griffin,PIT,SS
2,1,2,Jesús Made,MIL,SS
3,1,1,Nolan McLean,NYM,SP
4,1,1,Samuel Basallo,BAL,C
5,1,1,Kevin McGonigle,DET,3B
6,1,3,Leo De Vries,ATH,SS
7,2,1,Max Clark,DET,CF
8,1,2,Trey Yesavage,TOR,SP
9,1,3,Thomas White,MIA,SP
10,2,4,Bubba Chandler,PIT,SP
11,1,4,Colt Emerson,SEA,SS
12,1,1,JJ Wetherholt,STL,2B
13,1,5,Aidan Miller,PHI,SS
14,1,6,Franklin Arias,BOS,SS
15,1,7,Eli Willits,WSN,SS
16,1,1,Bryce Eldridge,SFG,1B
17,1,1,Josue De Paula,LAD,RF
18,2,5,Payton Tolle,BOS,SP
19,2,6,Liam Doyle,STL,SP
20,2,7,Ryan Sloan,SEA,SP
21,2,2,Carson Benge,NYM,CF
22,1,2,Alfredo Duno,CIN,C
23,3,8,Bryce Rainer,DET,SS
24,2,9,Luis Peńa,MIL,SS
25,3,3,Rainiel Rodriguez,STL,C
26,1,2,Chase DeLauter,CLE,RF
27,2,8,Andrew Painter,PHI,SP
28,1,10,Carson Williams,TBR,SS
29,2,9,Jarlin Susana,WSN,SP
30,1,11,Sebastian Walcott,TEX,SS
31,1,3,Walker Jenkins,MIN,CF
32,1,4,Carter Jensen,KCR,C
33,1,2,Caleb Bonemer,CHW,3B
34,2,3,Sal Stewart,CIN,3B
35,1,1,Ryan Waldschmidt,ARI,LF
36,2,10,Noah Schultz,CHW,SP
37,3,11,Brandon Sproat,MIL,SP
38,3,12,Connelly Early,BOS,SP
39,2,2,Dylan Beavers,BAL,LF
40,2,2,Ralphy Velazquez,CLE,1B
41,2,3,Zyhir Hope,LAD,RF
42,3,12,Angel Genao,CLE,SS
43,3,4,Eduardo Quintero,LAD,CF
44,2,13,Josuar Gonzalez,SFG,SS
45,3,13,Seth Hernandez,PIT,SP
46,2,5,Eduardo Tait,MIN,C
47,1,4,Ethan Holliday,COL,3B
48,2,14,Arjun Nimmala,TOR,SS
49,1,15,George Lombard Jr.,NYY,SS
50,3,14,Kade Anderson,SEA,SP
51,4,5,Jonny Farmelo,SEA,CF
52,1,15,Tyler Bremner,LAA,SP
53,2,16,Elmer Rodríguez,NYY,SP
54,4,2,Travis Bazzana,CLE,2B
55,1,16,Jefferson Rojas,CHC,SS
56,2,6,Joe Mack,MIA,C
57,2,17,George Klassen,LAA,SP
58,3,18,Jonah Tong,NYM,SP
59,2,19,Brody Hopkins,TBR,SP
60,2,6,Kevin Alcántara,CHC,CF
61,4,17,Emil Morales,LAD,SS
62,3,4,Owen Caissie,MIA,RF
63,4,3,Josue Briceńo,DET,1B
64,3,20,Luis De León,BAL,SP
65,3,21,Hagen Smith,CHW,SP
66,5,5,Lazaro Montes,SEA,RF
67,2,3,Charlie Condon,COL,LF
68,1,22,JR Ritchie,ATL,SP
69,3,18,Dax Kilby,NYY,SS
70,2,19,Yolfran Castillo,TEX,SS
71,3,23,Caden Scarborough,TEX,SP
72,3,24,Jaxon Wiggins,CHC,SP
73,4,25,Carlos Lagrange,NYY,SP
74,3,7,Harry Ford,WSN,C
75,4,7,Jett Williams,MIL,CF
76,5,8,Jeferson Quero,MIL,C
77,3,20,Jhonny Level,SFG,SS
78,6,3,Michael Arroyo,SEA,2B
79,4,26,Jack Wenninger,NYM,SP
80,4,27,Robby Snelling,MIA,SP
81,2,28,Gage Jump,ATH,SP
82,5,29,Parker Messick,CLE,SP
83,4,30,Trey Gibson,BAL,SP
84,4,9,Moisés Ballesteros,CHC,C
85,5,5,Jacob Reimer,NYM,3B
86,7,21,Felnin Celesten,SEA,SS
87,5,22,Aiva Arquette,MIA,SS
88,6,31,Logan Henderson,MIL,SP
89,4,32,David Davalillo,TEX,SP
90,2,33,Didier Fuentes,ATL,SP
91,6,34,Khal Stephen,CLE,SP
92,3,35,Michael Forret,TBR,SP
93,4,10,Jimmy Crooks,STL,C
94,5,36,Jurrangelo Cijntje,STL,SP
95,4,37,Christian Oppor,CHW,SP
96,4,38,Kyson Witherspoon,BOS,SP
97,3,23,Kaelen Culpepper,MIN,SS
98,2,4,Tommy Troy,ARI,2B
99,3,8,Roldy Brito,COL,CF
100,5,6,Braden Montgomery,CHW,RF
101,4,4,Edward Florentino,PIT,LF
102,3,39,Rhett Lowder,CIN,SP
103,5,40,Winston Santos,TEX,SP
104,6,41,Tanner McDougal,CHW,SP
105,5,11,Thayron Liranzo,DET,C
106,2,12,Blake Mitchell,KCR,C
107,5,42,River Ryan,LAD,SP
108,3,43,Jake Bloss,TOR,SP
109,4,44,Travis Sykora,WSN,SP
110,1,13,Ethan Salas,SDP,C
,3,,Jansel Luis,ARI,3B
,3,,Trey Gregory-Alford,LAA,SP
,3,,Cam Caminiti,ATL,SP
,3,,Justin Crawford,PHI,CF
,4,,JoJo Parker,TOR,3B
,4,,JD Dix,ARI,2B
,4,,Hayden Alvarez,LAA,CF
,4,,Steele Hall,CIN,SS
,4,,Owen Murphy,ATL,SP
,4,,Aroon Escobar,PHI,2B
,5,,Demetrio Crisantes,ARI,2B
,5,,Ricky Tiedemann,TOR,SP
,5,,Nelson Rada,LAA,CF
,5,,Héctor Rodríguez,CIN,RF
,5,,Alex Lodise,ATL,SS
,5,,Gage Wood,PHI,SP
,6,,Yilber Díaz,ARI,SP
,6,,A.J. Ewing,NYM,CF
,6,,Brandon Clarke,STL,SP
,6,,Mike Sirota,LAD,CF
,6,,Johnny King,TOR,SP
,6,,Denzer Guzman,LAA,SS
,6,,Jose Franco,CIN,SP
,6,,Garrett Baumann,ATL,SP
,6,,Moisés Chace,PHI,SP
,6,,Jordan Yost,DET,SS
,7,,Bishop Letson,MIL,SP
,7,,Billy Carlson,CHW,SS
,7,,Wandy Asigen,NYM,SS
,7,,Joshua Baez,STL,RF
,7,,Christian Zazueta,LAD,SP
,7,,Braylon Doughty,CLE,SP
,7,,Kayson Cunningham,ARI,2B
,7,,Ryan Johnson,LAA,MIRP
,7,,Cam Collier,CIN,1B
,7,,Luke Sinnard,ATL,SP
,7,,Jean Cabrera,PHI,SP
,7,,Cris Rodriguez,DET,RF
,7,,Victor Arias,TOR,CF
,8,,Andrew Fischer,MIL,3B
,8,,Jonathan Santucci,NYM,SP
,8,,Yairo Padilla,STL,SS
,8,,Gabriel Rodriguez,CLE,SS
,8,,Daniel Eagen,ARI,SP
,8,,Luke Stevenson,SEA,C
,8,,Jedixson Paez,CHW,SP
,8,,Juan Flores,LAA,C
,8,,Alex Freeland,LAD,SS
,8,,Diego Tornes,ATL,LF
,8,,Gabriel Rincones Jr.,PHI,LF
,8,,Juan Sanchez,TOR,3B
,8,,Zach Maxwell,CIN,SP
,8,,Eduardo Valencia,DET,C
,9,,Will Watson,NYM,MIRP
,9,,Robert Arias,CLE,CF
,9,,Josh Adamczewski,MIL,LF
,9,,LuJames Groover,ARI,3B
,9,,David Sandlin,CHW,MIRP
,9,,Leonardo Bernal,STL,C
,9,,James Tibbs III,LAD,RF
,9,,Francisco Renteria,PHI,LF
,9,,Gage Stanifer,TOR,SP
,9,,Yorger Bautista,SEA,CF
,9,,Johnny Slawinski,LAA,SP
,9,,Chase Petty,CIN,SP
,9,,John Gil,ATL,SS
,9,,Hao-Yu Lee,DET,2B
,10,,Cooper Pratt,MIL,SS
,10,,Cristian Mena,ARI,SP
,10,,Ryan Clifford,NYM,RF
,10,,Quinn Mathews,STL,SP
,10,,Charles Davalan,LAD,LF
,10,,Cooper Ingle,CLE,C
,10,,Matthew Fisher,PHI,SP
,10,,Juan Caricote,TOR,C
,10,,Nick Becker,SEA,SS
,10,,Jaden Fauske,CHW,LF
,10,,Joel Hurtado,LAA,SP
,10,,Carlos Jorge,CIN,CF
,10,,Tate Southisene,ATL,SS
,10,,Max Anderson,DET,3B
,11,,Luis Lara,MIL,CF
,11,,Kohl Drake,ARI,SP
,11,,Elian Peńa,NYM,3B
,11,,Tink Hence,STL,SP
,11,,Adam Serwinowski,LAD,SP
,11,,Kahlil Watson,CLE,CF
,11,,Juan Rijo,SEA,CF
,11,,Sam Antonacci,CHW,2B
,11,,Marlon Quintero,LAA,C
,11,,Tyson Lewis,CIN,SS
,11,,Briggs McKenzie,ATL,SP
,11,,Romeli Espinosa,PHI,SS
,11,,Andrew Sears,DET,MIRP
,11,,Yohendrick Pinango,TOR,LF
,12,,Robert Gasser,MIL,SP
,12,,Zach Thornton,NYM,SP
,12,,Tekoah Roby,STL,MIRP
,12,,Marlon Nieves,LAD,SP
,12,,Jace LaViolette,CLE,CF
,12,,Ashton Izzi,ARI,SP
,12,,Aldrin Batista,CHW,SP
,12,,Joswa Lugo,LAA,SS
,12,,Hansel Jimenez,CIN,3B
,12,,Owen Carey,ATL,CF
,12,,Cade Obermueller,PHI,SP
,12,,Michael Oliveto,DET,C
,12,,Angel Bastardo,TOR,SP
,12,,Teddy McGraw,SEA,MIRP
,13,,J.D. Thompson,MIL,SP
,13,,Jackson Ferris,LAD,SP
,13,,Matt Wilkinson,CLE,SP
,13,,David Hagaman,ARI,SP
,13,,Yilver De Paula,LAA,SS
,13,,Liberts Aponte,CIN,SS
,13,,Chris Suero,NYM,C
,13,,Ryan Mitchell,STL,CF
,13,,Conor Essenburg,ATL,CF
,13,,Dante Nori,PHI,CF
,13,,Angel De Los Santos,DET,SS
,13,,Silvano Hechavarria,TOR,SP
,13,,Griffin Hugus,SEA,SP
,13,,Kyle Lodise,CHW,SS
,14,,Josh Knoth,MIL,SP
,14,,Caden Favors,CLE,SP
,14,,Patrick Forbes,ARI,SP
,14,,Angel Nuńez,CIN,CF
,14,,R.J. Gordon,NYM,SP
,14,,Tai Peete,STL,CF
,14,,Zach Ehrhard,LAD,RF
,14,,Edelson Cabral,ATL,SS
,14,,Alex McFarlane,PHI,SP
,14,,Randy Santana,DET,CF
,14,,Sean Keys,TOR,3B
,14,,Korbyn Dickerson,SEA,CF
,14,,Mason Adams,CHW,SP
,14,,Chris Cortez,LAA,SP
,15,,Brady Ebel,MIL,SS
,15,,Brandyn Garcia,ARI,MIRP
,15,,Aaron Watson,CIN,SP
,15,,Eli Serrano III,NYM,CF
,15,,Chen-Wei Lin,STL,SP
,15,,Kendall George,LAD,CF
,15,,Juneiker Caceres,CLE,RF
,15,,Manuel Bolivar,DET,C
,15,,Adrian Pinto,TOR,2B
,15,,Ky Bush,CHW,SP
,15,,Chase Shores,LAA,SP
,15,,Raudy Reyes,ATL,SP
,15,,Cody Bowker,PHI,MIRP
,15,,Robinson Ortiz,SEA,SP
,16,,Blake Burke,MIL,1B
,16,,Wellington Aracena,ARI,SP
,16,,Mason Morris,CIN,MIRP
,16,,Boston Baro,NYM,3B
,16,,Ixan Henderson,STL,SP
,16,,Zachary Root,LAD,SP
,16,,Jaison Chourio,CLE,CF
,16,,Malachi Witherspoon,DET,SP
,16,,Josh Kasevich,TOR,SS
,16,,Juan Carela,CHW,MIRP
,16,,Raudi Rodriguez,LAA,CF
,16,,Eric Hartman,ATL,CF
,16,,Keaton Anthony,PHI,1B
,16,,Mason Peters,SEA,SP
,17,,Tyson Hardin,MIL,SP
,17,,Dean Livingston,ARI,SP
,17,,Dylan Ross,NYM,SP
,17,,Brycen Mautz,STL,SP
,17,,Luis Carias,LAD,SP
,17,,Dauri Fernandez,CLE,SS
,17,,Kelvis Salcedo,DET,SP
,17,,Adam Macko,TOR,MIRP
,17,,William Bergolla,CHW,SS
,17,,Sam Aldegheri,LAA,SP
,17,,Edwin Arroyo,CIN,SS
,17,,Blake Burkhalter,ATL,SP
,17,,Gabe Craig,PHI,SP
,17,,Marcelo Perez,SEA,SP
,18,,Braylon Payne,MIL,CF
,18,,Junior Ciprian,ARI,SP
,18,,Jonathan Pintaro,NYM,SP
,18,,Hancel Rincon,STL,SP
,18,,Oliver Gonzalez,LAD,SP
,18,,Daniel Espino,CLE,SP
,18,,Oscar Tineo,DET,SS
,18,,Blaine Bullard,TOR,CF
,18,,Jeral Perez,CHW,2B
,18,,CJ Gray,LAA,SP
,18,,Leo Balcazar,CIN,SS
,18,,Rolddy Muńoz,ATL,SP
,18,,Ramon Marquez,PHI,SP
,18,,Christian Little,SEA,SP
,19,,Shane Drohan,MIL,MIRP
,19,,Hunter Cranton,ARI,SP
,19,,Pete Hansen,STL,SP
,19,,Joey Oakie,CLE,SP
,19,,Owen Hall,DET,SP
,19,,RJ Schreck,TOR,RF
,19,,Tanner Murray,CHW,UTIL
,19,,Gabriel Davalillo,LAA,1B
,19,,Jirvin Morillo,CIN,C
,19,,Nick Morabito,NYM,CF
,19,,Joendry Vargas,LAD,SS
,19,,Carter Holton,ATL,SP
,19,,Dylan Campbell,PHI,RF
,19,,Michael Morales,SEA,SP
,20,,Coleman Crow,MIL,SP
,20,,Jesus Baez,STL,2B
,20,,Brandon Barriera,TOR,SP
,20,,Adriel Radney,ARI,RF
,20,,Zach Franklin,CHW,SP
,20,,Dylan Jordan,LAA,SP
,20,,Arnaldo Lantigua,CIN,LF
,20,,Mitch Voit,NYM,2B
,20,,Kellon Lindsey,LAD,CF
,20,,Luis Guanipa,ATL,CF
,20,,George Valera,CLE,RF
,20,,Alirio Ferrebus,PHI,C
,20,,Lucas Elissalt,DET,SP
,20,,Blas Castańo,SEA,MIRP
,21,,Craig Yoho,MIL,SP
,21,,Cooper Hjerpe,STL,MIRP
,21,,Tim Piasentin,TOR,3B
,21,,Mitch Bratt,ARI,SP
,21,,Duncan Davitt,CHW,SP
,21,,Samy Natera Jr.,LAA,SP
,21,,Luke Holman,CIN,SP
,21,,Ryan Lambert,NYM,SP
,21,,Ryan Ward,LAD,LF
,21,,Landon Beidelschies,ATL,SP
,21,,Alfonsin Rosario,CLE,RF
,21,,Anderson Araujo,PHI,C
,21,,John Peck,DET,SS
,21,,Brock Rodden,SEA,2B
,22,,Brett Wichrowski,MIL,SP
,22,,Sem Robberse,STL,MIRP
,22,,Franyerber Montilla,DET,SS
,22,,Grant Rogers,TOR,SP
,22,,Slade Caldwell,ARI,CF
,22,,Tyler Schweitzer,CHW,MIRP
,22,,Keythel Key,LAA,SP
,22,,Julian Aguiar,CIN,SP
,22,,Ben Simon,NYM,SP
,22,,Landyn Vidourek,LAD,RF
,22,,Lucas Braun,ATL,SP
,22,,Franklin Gomez,CLE,SP
,22,,Dayber Cruceta,PHI,CF
,22,,Luis Suisbel,SEA,3B
,23,,Bryce Meccage,MIL,SP
,23,,Jude Warwick,DET,SS
,23,,Spencer Miles,TOR,SP
,23,,Yassel Soler,ARI,3B
,23,,Samuel Zavala,CHW,CF
,23,,Walbert Urena,LAA,SP
,23,,Sheng-En Lin,CIN,SP
,23,,Justin Hagenman,NYM,SP
,23,,Cade Crossland,STL,SP
,23,,Ching-Hsien Ko,LAD,RF
,23,,Austin Peterson,CLE,SP
,23,,Kehden Hettiger,PHI,C
,23,,Tyler Cleveland,SEA,SP
,23,,Drue Hackenberg,ATL,SP
,24,,Ben Jacobs,DET,SP
,24,,Marco Dinges,MIL,C
,24,,Edward Duran,TOR,C
,24,,Brian Curley,ARI,SP
,24,,Fernando Graterol,CHW,C
,24,,Capri Ortiz,LAA,SS
,24,,JeanPierre Ortiz,CIN,SP
,24,,Randy Guzman,NYM,1B
,24,,Tanner Franklin,STL,SP
,24,,Chase Harlan,LAD,3B
,24,,Josh Hartle,CLE,SP
,24,,Seth Johnson,PHI,SP
,24,,Charlie Pagliarini,SEA,2B
,24,,Ethan Bagwell,ATL,SP
,25,,Gage Workman,DET,3B
,25,,Frank Cairone,MIL,SP
,25,,Franklin Rojas,TOR,C
,25,,Daury Vasquez,ARI,SP
,25,,Peyton Olejnik,LAA,SP
,25,,Iker Redona,CIN,SP
,25,,Antonio Jimenez,NYM,SS
,25,,Nathan Church,STL,CF
,25,,Brooks Auger,LAD,SP
,25,,Petey Halpin,CLE,CF
,25,,Zach McCambley,PHI,SP
,25,,Gregory Pio,SEA,CF
,25,,Blake Larson,CHW,SP
,25,,Hayden Harris,ATL,SP
,26,,Jackson Strong,DET,CF
,26,,Jaron DeBerry,MIL,SP
,26,,Jake Cook,TOR,CF
,26,,Mason Marriott,ARI,MIRP
,26,,Barrett Kent,LAA,SP
,26,,Nick Sando,CIN,SP
,26,,Joel Díaz,NYM,SP
,26,,Blaze Jordan,STL,1B
,26,,Reyli Mariano,LAD,2B
,26,,Jacob Cozart,CLE,C
,26,,Brad Pacheco,PHI,SP
,26,,Alexander Alberto,CHW,SP
,26,,Herick Hernandez,ATL,SP
,27,,Ty Madden,DET,SP
,27,,Brock Wilken,MIL,3B
,27,,Cutter Coffey,TOR,3B
,27,,Kristian Robinson,ARI,RF
,27,,Talon Haley,LAA,SP
,27,,Drew Petska,CIN,SP
,27,,Marco Vargas,NYM,SS
,27,,César Prieto,STL,2B
,27,,Sterling Patick,LAD,MIRP
,27,,Jose Devers,CLE,SS
,27,,Wen-Hui Pan,PHI,SP
,27,,George Wolkow,CHW,RF
,27,,Angel Carmona,ATL,SS
,28,,Jake Miller,DET,MIRP
,28,,Carlos Rodriguez,MIL,SP
,28,,Brandon Valenzuela,TOR,C
,28,,Cristofer Torin,ARI,2B
,28,,Jeyson Horton,LAA,SS
,28,,Anyer Laureano,CIN,SP
,28,,Yovanny Rodriguez,NYM,C
,28,,Leonel Sequera,STL,SP
,28,,Kyle Hurt,LAD,SP
,28,,Peyton Pallette,CLE,SP
,28,,Landon Hodge,CHW,C
,28,,Brett Sears,ATL,SP
,28,,Bryan Rincon,PHI,SS
,29,,Paul Wilson,DET,SP
,29,,Luke Adams,MIL,1B
,29,,Micah Bucknam,TOR,MIRP
,29,,Druw Jones,ARI,CF
,29,,Juan Rujano,STL,C
,29,,Patrick Copen,LAD,SP
,29,,Franco Aleman,CLE,SP
,29,,Mathias LaCombe,CHW,SP
,29,,Yeferson Vargas,LAA,SP
,29,,Tyler Callihan,CIN,2B
,29,,Yordan Rodriguez,NYM,SP
,29,,Cade Kuehler,ATL,SP
,29,,Devin Saltiban,PHI,CF
,30,,Michael Massey,DET,SP
,30,,Daniel Dickinson,MIL,2B
,30,,T.J. Brock,TOR,SP
,30,,Carlos Virahonda,ARI,C
,30,,Emanuel Luna,STL,OF
,30,,José Rodríguez,LAD,SP
,30,,Yorman Gómez,CLE,SP
,30,,Jairo Iriarte,CHW,SP
,30,,Cody Laweryson,LAA,SP
,30,,Ryjeteri Merite,CIN,SP
,30,,Peter Kussow,NYM,SP
,30,,Jose Perdomo,ATL,3B
,30,,Griffin Burkholder,PHI,CF
,31,,Ethan Schiefelbein,DET,SP
,31,,Kenny Fenelon,MIL,CF
,31,,Connor Cooke,TOR,SP
,31,,Andrew Hoffmann,ARI,SP
,31,,Luis Gastelum,STL,SP
,31,,Noah Miller,LAD,SS
,31,,Jogly Garcia,CLE,SP
,31,,Javier Mogollon,CHW,2B
,31,,Camden Minacci,LAA,SP
,31,,Kevin Abel,CIN,MIRP
,31,,Camden Lohman,NYM,SP
,31,,Connor Thomas,ATL,MIRP
,31,,Michael Mercado,PHI,MIRP
,32,,Brailyn Antunez,MIL,CF
,32,,Chay Yeager,TOR,SP
,32,,Hayden Durke,ARI,SP
,32,,Austin Love,STL,SP
,32,,Cam Leiter,LAD,SP
,32,,Juan Brito,CLE,2B
,32,,Trei Cruz,DET,SS
,32,,Riley Gowens,CHW,MIRP
,32,,Ubaldo Soto,LAA,SP
,32,,Jay Allen II,CIN,CF
,32,,Jose Chirinos,NYM,SP
,32,,Jose Manon,ATL,SS
,32,,Yoniel Curet,PHI,SP
,33,,José Rodríguez,MIL,SS
,33,,Javen Coleman,TOR,SP
,33,,Yordin Chalas,ARI,SP
,33,,Yhoiker Fajardo,STL,SP
,33,,Hyun-Seok Jang,LAD,SP
,33,,Dean Curley,CLE,3B
,33,,Izaac Pacheco,DET,3B
,33,,Ben Peoples,CHW,SP
,33,,Junior Suriel,LAA,RF
,33,,Victor Acosta,CIN,SS
,33,,Heriberto Rincon,NYM,CF
,33,,Starlyn De La Cruz,ATL,CF
,33,,Cristhian Tortosa,PHI,SP
,34,,Tate Kuehner,MIL,MIRP
,34,,Sandro Santana,ARI,SP
,34,,Brady Smith,LAD,SP
,34,,Andrew Walters,CLE,SP
,34,,River Hamilton,DET,SP
,34,,Yondrei Rojas,TOR,SP
,34,,Tyler Davis,CHW,SP
,34,,Jhon Almonte,LAA,MIRP
,34,,Kyle Henley,CIN,CF
,34,,Colin Houck,NYM,SS
,34,,Nate Dohm,STL,SP
,34,,Titan Kennedy-Hayes,PHI,SP
,35,,Gavin Conticello,ARI,RF
,35,,Rubel Arias,LAD,CF
,35,,Ryan Hall,DET,SP
,35,,Jacob Morrison,MIL,SP
,35,,Fernando Perez,TOR,SP
,35,,Jacob Gonzalez,CHW,UTIL
,35,,Carlos Castillo,LAA,OF
,35,,Yerlin Confidan,CIN,RF
,35,,Douglas Orellana,NYM,SP
,35,,Blake Aita,STL,SP
,35,,Doug Nikhazy,CLE,MIRP
,36,,Yu-Min Lin,ARI,SP
,36,,Jhonan Coba,DET,SP
,5,,Gage Ziehl,BOS,SP
,36,,Melvin Hernandez,MIL,SP
,36,,Dahian Santos,TOR,MIRP
,36,,Shane Murphy,CHW,MIRP
,36,,Kendri Fana,LAA,RHP
,36,,Adolfo Sanchez,CIN,RF
,36,,Felipe De La Cruz,NYM,SP
,36,,Braden Davis,STL,SP
,36,,Eduardo Rojas,LAD,C
,36,,Nick Mitchell,CLE,CF
,37,,Alberto Barriga,ARI,C
,37,,Gabriel Reyes,DET,SP
,37,,Ethan Dorchies,MIL,SP
,37,,Charles McAdoo,TOR,3B
,37,,Grant Umberger,CHW,SP
,37,,Alfredo Alcantara,CIN,2B
,37,,Peyton Prescott,NYM,SP
,37,,Jose Davila,STL,SP
,37,,Elijah Hainline,LAD,2B
,37,,Aaron Walton,CLE,CF
,38,,Christian Cerda,ARI,C
,38,,Drew Sommers,DET,SP
,38,,Handelfry Encarnacion,MIL,CF
,38,,Kai Peterson,TOR,SP
,38,,Truman Pauley,CHW,MIRP
,38,,Simon Miller,CIN,SP
,38,,Luis Alvarez,NYM,SP
,38,,Skylar Hales,STL,SP
,38,,Aidan West,LAD,2B
,38,,Will Hynes,CLE,SP
,39,,Chung-Hsiang Huang,ARI,SP
,39,,Moises Rodriguez,DET,SP
,39,,Tyler Black,MIL,1B
,39,,Sam Shaw,TOR,LF
,39,,Carson Jacobs,CHW,SP
,39,,Deivi Villafana,CIN,SP
,39,,Ronald Hernandez,NYM,C
,39,,Jack Martinez,STL,MIRP
,39,,Paul Gervase,LAD,SP
,39,,Aidan Major,CLE,SP
,40,,Caden Grice,ARI,SP
,40,,Dylan Smith,DET,SP
,40,,Eric Bitonti,MIL,1B
,40,,Elaineiker Coronado,TOR,2B
,40,,Sebastian Romero,CHW,LF
,40,,Ty Floyd,CIN,SP
,40,,Cleiner Ramirez,NYM,OF
,40,,Ethan Young,STL,MIRP
,40,,Garrett McDaniels,LAD,SP
,40,,Dylan DeLucia,CLE,MIRP
,41,,Josh Grosz,ARI,SP
,41,,Joseph Montalvo,DET,SP
,41,,José Anderson,MIL,RF
,41,,Edward Lantigua,NYM,LF
,41,,Mason Molina,STL,MIRP
,41,,Ronan Kopp,LAD,SP
,41,,Steven Pérez,CLE,SP
,42,,Jacob Steinmetz,ARI,SP
,42,,Jaden Hamm,DET,SP
,42,,Alexander Frias,MIL,RF
,42,,Cesar Acosta,NYM,C
,42,,Frank Elissalt,STL,SP
,42,,Carson Hobbs,LAD,SP
,42,,Jackson Humphries,CLE,MIRP
,43,,Tyler Owens,DET,SP
,43,,Yerlin Rodriguez,MIL,SP
,43,,Elian De La Cruz,ARI,RF
,43,,Nathan Hall,NYM,SP
,43,,Matt Pushard,STL,SP
,43,,Jakob Wright,LAD,SP
,43,,Kendeglys Virguez,CLE,SP
,44,,Luis Aguilera,DET,SS
,44,,Ryan Birchard,MIL,MIRP
,44,,Jose Fernandez,ARI,SS
,44,,Calvin Ziegler,NYM,SP
,44,,Yordy Herrera,STL,SP
,44,,Reynaldo Yean,LAD,SP
,44,,Nolan Schubart,CLE,LF
,45,,Josueth Quinonez,DET,CF
,45,,Eduardo Garcia,MIL,SS
,45,,Blake Walston,ARI,SP
,45,,Luis R. Rodriguez,NYM,SP
,45,,Randel Clemente,STL,SP
,45,,Aidan Foeller,LAD,SP
,45,,Chase Mobley,CLE,SP
,46,,Andy Mata,DET,CF
,46,,Matthew Wood,MIL,C
,46,,Spencer Giesting,ARI,MIRP
,46,,Colton Ledbetter,STL,RF
,46,,Logan Wagner,LAD,3B
,46,,Alexander Garcia,CLE,SP
,47,,Kenny Serwa,DET,MIRP
,47,,Filippo Di Turi,MIL,SS
,47,,Dylan Ray,ARI,SP
,47,,Bryan Torres,STL,2B/LF
,47,,Samuel Munoz,LAD,LF
,48,,Joshua Flores,MIL,SP
,48,,Joe Elbis,ARI,SP
,48,,Jack Gurevitch,STL,1B
,48,,Peter Heubeck,LAD,SP
,49,,Sean Episcope,MIL,MIRP
,49,,Sawyer Hawks,ARI,SP
,49,,Won-Bin Cho,STL,RF
,49,,Jared Karros,LAD,SP
,50,,Jack Hostetler,MIL,SP
,50,,Jose Cabrera,ARI,MIRP
,50,,Chase Davis,STL,RF
,50,,Isaac Ayon,LAD,SP
,51,,K.C. Hunt,MIL,SP
,51,,Landon Sims,ARI,SP
,51,,Carlos Carrion,STL,3B
,51,,Dylan Tate,LAD,SP
,52,,Diego Frontado,MIL,SS
,52,,Kyle Amendt,ARI,SP
,52,,Sebastian Dos Santos,STL,2B
,52,,Wyatt Crowell,LAD,SP
,53,,Ricki Moneys,MIL,3B
,53,,Gian Zapata,ARI,RF
,53,,Branneli Franco,STL,SP
,53,,Logan Tabeling,LAD,SP
,54,,Ivan Luciano,ARI,C
,55,,Tytus Cissell,ARI,SS
,56,,Pedro Blanco,ARI,1B
,57,,Walvin Mena,ARI,SP
,58,,Samuel Gonzalez,ARI,SP
,59,,Ruben Gallego,ARI,SS
