Name,Team,ERA
Jack Cushing,Toronto Blue Jays,4.59
Jack Anderson,Boston Red Sox,4.52
Chris Clarke,,4.5
Osvaldo Bido,New York Yankees,4.75
James Hicks,Houston Astros,4.36
Yu-Min Lin,Arizona Diamondbacks,4.5
Alex Faedo,,4.52
Michael Kopech,,4.43
Garrett Stallings,Milwaukee Brewers,4.74
Daniel Espino,Cleveland Indians,4.27
Easton McGee,Milwaukee Brewers,4.06
Jack O'Loughlin,,4.71
Michael Plassmeyer,Toronto Blue Jays,4.75
Hayden Mullins,Boston Red Sox,4.83
Chayce McDermott,Baltimore Orioles,4.67
Kenta Maeda,,5.09
Ricky Castro,Minnesota Twins,4.76
C.J. Culpepper,Minnesota Twins,4.83
Jonathan Bowlan,Philadelphia Phillies,4.48
Landon Harper,Atlanta Braves,4.64
Jack Kochanowicz,Kansas City Royals,5.26
Hunter Patteson,Kansas City Royals,5.04
Nick Dean,Boston Red Sox,4.52
Bryce Mayer,Houston Astros,4.66
Blake Beers,Athletics,4.82
Luis De Le�n,Baltimore Orioles,4.76
Domingo Robles,Athletics,4.7
Levi Wells,Baltimore Orioles,4.82
Jason Alexander,Houston Astros,4.66
Brandon Leibrandt,Cincinnati Reds,4.96
Trey Dombroski,Houston Astros,4.68
Jose Corniell,Texas Rangers,4.65
Jaxon Wiggins,Boston Red Sox,4.48
Will Johnston,Athletics,4.52
Blake Adams,Colorado Rockies,5.21
Trey Supak,Texas Rangers,5.12
Jeff Criswell,Colorado Rockies,4.66
David Buchanan,,4.96
James Gonzalez,Athletics,4.9
Alex Pham,Baltimore Orioles,4.74
Ryan Webb,Cleveland Indians,4.54
Marco Raya,Minnesota Twins,4.88
Josiah Gray,Washington Nationals,4.82
Eduardo Rivera,Boston Red Sox,4.77
Kyle Luckham,Washington Nationals,5.05
Evan McKendry,Miami Marlins,5.19
Robinson Pi�a,,4.5
Garrett McMillan,Pittsburgh Pirates,4.1
Valente Bellozo,Colorado Rockies,4.68
Bryan Hoeing,San Diego Padres,4.3
Felipe De La Cruz,New York Mets,4.66
Billy Corcoran,Arizona Diamondbacks,4.46
Zack Thompson,St. Louis Cardinals,4.56
Trevor Williams,Washington Nationals,4.93
Jose Fleury,Houston Astros,4.54
Chuck King,Philadelphia Phillies,5.22
Griffin Canning,San Diego Padres,4.76
Blake Wehunt,Boston Red Sox,4.78
Cameron Weston,Baltimore Orioles,4.97
Jared Shuster,St. Louis Cardinals,4.56
Connor Phillips,Cincinnati Reds,4.92
Anthony Molina,Atlanta Braves,4.95
Tomoyuki Sugano,Colorado Rockies,4.87
Davis Daniel,Cincinnati Reds,5.63
Brad Keller,Philadelphia Phillies,4.43
Tommy Henry,Arizona Diamondbacks,4.55
Reid VanScoter,Seattle Mariners,4.72
Cody Poteet,,4.31
Erick Fedde,Chicago White Sox,4.97
Caleb Kilian,San Francisco Giants,4.61
Nick Dombkowski,Pittsburgh Pirates,4.52
Mitch Myers,Athletics,4.79
Carson Palmquist,Colorado Rockies,5.26
Yilber D�az,Arizona Diamondbacks,4.16
Victor Mederos,Kansas City Royals,5.12
Jean Cabrera,Philadelphia Phillies,5.2
Freddy Tarnok,,4.41
Sean Sullivan,Pittsburgh Pirates,4.46
Trent Sellers,New York Yankees,4.98
Chris Murphy,Chicago White Sox,4.6
Lael Lockhart,Detroit Tigers,4.92
Cory Abbott,,4.9
Max Alba,Detroit Tigers,5.04
John Michael Bertrand,San Francisco Giants,4.71
Ryan Yarbrough,New York Yankees,4.58
Lucas Gordon,Chicago White Sox,5.15
Jacob Waguespack,Milwaukee Brewers,4.53
Jurrangelo Cijntje,St. Louis Cardinals,4.72
Jaden Hamm,Detroit Tigers,5.07
Charlie Morton,,4.88
Grant Holmes,Atlanta Braves,4.16
Jose Gonzalez,Kansas City Royals,5.24
Chase Solesky,Tampa Bay Rays,5.01
Mois�s Chace,Philadelphia Phillies,4.86
Brandon Waddell,New York Mets,4.67
Robert Stock,New York Mets,4.86
Dakota Hudson,,5.35
Trystan Vrieling,San Francisco Giants,4.72
Emiliano Teodo,Texas Rangers,4.7
Andrew Hoffmann,Arizona Diamondbacks,4.05
Trenton Wallace,Toronto Blue Jays,4.48
Bowden Francis,Toronto Blue Jays,4.69
Trent Baker,Minnesota Twins,4.81
Owen Wild,Tampa Bay Rays,5.23
Jordan Balazovic,,4.64
Carlos Pe�a,Detroit Tigers,4.96
Rodney Boone,Cleveland Indians,4.44
Adam Macko,Toronto Blue Jays,4.76
Julian Aguiar,Cincinnati Reds,5.42
Andry Lara,Washington Nationals,4.95
Josh Trentadue,Texas Rangers,5.05
Jos� Urquidy,Pittsburgh Pirates,4.8
Rafael Sanchez,Toronto Blue Jays,5.02
Dylan Smith,Detroit Tigers,4.5
Hancel Rincon,St. Louis Cardinals,4.79
Connor McCullough,Chicago White Sox,5.05
Ty Blach,,5.21
Kyle Robinson,Athletics,5.15
Ky Bush,Chicago White Sox,5.1
Kyle Carr,New York Yankees,5.33
Avery Weems,,4.56
Spencer Turnbull,,5.04
Jack Mahoney,Colorado Rockies,5.49
Jackson Rutledge,Washington Nationals,4.92
Ryan Lobus,Texas Rangers,4.62
Anders Tolhurst,,4.82
Po-Yu Chen,Pittsburgh Pirates,4.89
Taijuan Walker,Philadelphia Phillies,5.13
Connor Seabold,Toronto Blue Jays,5.01
Thaddeus Ward,,4.74
Jared Lyons,Cincinnati Reds,5.29
Andrew Sears,Detroit Tigers,5.1
Jos� De Le�n,,4.83
Jack Choate,San Francisco Giants,4.76
Brendan Girton,New York Mets,5.03
Christian MacLeod,Minnesota Twins,4.73
Joey Lucchesi,,4.22
Josh Maciejewski,,4.5
Cole Wilcox,Seattle Mariners,4.57
Zach Penrod,Washington Nationals,4.47
Nico Tellache,Seattle Mariners,4.6
Bryce Jarvis,Arizona Diamondbacks,4.65
Mike Clevinger,Pittsburgh Pirates,4.96
Lyon Richardson,Cincinnati Reds,4.86
Alonzo Tredwell,Houston Astros,4.77
Jake Bloss,Toronto Blue Jays,4.78
Erick Leal,,5.37
Vince Velasquez,Boston Red Sox,4.48
Adam Laskey,Colorado Rockies,4.99
Chase Chaney,New York Yankees,5.2
Zach Thompson,,4.82
Alex Cornwell,St. Louis Cardinals,4.74
Kai-Wei Teng,Houston Astros,4.8
Derek Diamond,Pittsburgh Pirates,4.76
Antonio Senzatela,Colorado Rockies,5.54
River Ryan,Los Angeles Dodgers,4.93
Walker Powell,Boston Red Sox,4.6
Bryse Wilson,Philadelphia Phillies,4.91
Blane Abeyta,Atlanta Braves,4.67
Dalton Rogers,Boston Red Sox,4.86
Carl Edwards Jr.,New York Mets,4.44
Tyson Guerrero,Kansas City Royals,5
Ricky Tiedemann,Toronto Blue Jays,4.68
Wyatt Crowell,Los Angeles Dodgers,5.22
Brandon Williamson,Cincinnati Reds,5.35
TJ Shook,Colorado Rockies,5.07
Austin Bergner,Texas Rangers,4.91
Luis Palacios,Miami Marlins,4.8
Casey Lawrence,Seattle Mariners,4.98
Blake Walston,Arizona Diamondbacks,4.59
Jose Franco,Cincinnati Reds,5.48
Riley Cornelio,Washington Nationals,5.19
Rorik Maltrud,Cleveland Indians,4.65
Albert Su�rez,Baltimore Orioles,4.86
Peter Solomon,,4.84
Eiberson Castellano,Colorado Rockies,5.09
Bryan Mata,,4.5
Beau Brieske,Detroit Tigers,4.81
Carson Fulmer,Pittsburgh Pirates,4.96
Prelander Berroa,Chicago White Sox,4.67
Jonathan Heasley,Kansas City Royals,4.95
Jose Acuna,Cincinnati Reds,5.63
Nick Zwack,San Francisco Giants,4.79
Dallas Keuchel,,5.07
Connor Schultz,Boston Red Sox,4.71
Antonio Santos,,4.78
T.J. Sikkema,Boston Red Sox,4.92
Walbert Urena,Kansas City Royals,5.4
Aaron Rozek,New York Mets,5.05
Karson Milbrandt,Miami Marlins,5
Trevor Martin,Tampa Bay Rays,4.91
Carlos Carrasco,Atlanta Braves,5.36
Victor Juarez,Colorado Rockies,5.06
Shaun Anderson,Kansas City Royals,5.29
Henry Williams,Kansas City Royals,5.23
Jackson Stephens,,4.19
Sam Armstrong,Minnesota Twins,5.23
Randy Wynne,,5.57
Keegan Thompson,Colorado Rockies,4.77
Sam Aldegheri,Kansas City Royals,5.43
Luke Russo,Philadelphia Phillies,5.19
Walker Buehler,San Diego Padres,5.33
Bailey Dees,New York Yankees,4.93
Robert Dugger,,5.29
Curtis Taylor,,4.81
Alex Clemmey,Washington Nationals,5.31
Pat Gallagher,Toronto Blue Jays,4.63
Brock Selvidge,New York Yankees,5.29
Jackson Nezuh,Houston Astros,4.86
Cameron Foster,Baltimore Orioles,4.48
Frankie Montas,,5.44
Nick Frasso,Los Angeles Dodgers,5.01
Yunior Tur,Athletics,5.16
Elieser Hern�ndez,Atlanta Braves,4.95
Jake Palisch,Chicago White Sox,4.89
Troy Watson,Detroit Tigers,4.97
Joan Adon,,5.16
Owen White,,5.22
Alex Amalfi,Toronto Blue Jays,4.61
Kyle Brnovich,Philadelphia Phillies,5.27
Anthony Veneziano,,4.81
Brandon Komar,,5.46
Anthony DeSclafani,,4.52
Ra�l Alcantara,,4.59
Ben Anderson,Texas Rangers,5.34
Ryan Costeiu,Kansas City Royals,5.53
Roque Gutierrez,Los Angeles Dodgers,5.4
Chris Flexen,,4.89
Wil Jensen,,4.43
Kyle Funkhouser,,5.11
Scott Blewett,St. Louis Cardinals,4.38
Joe Miller,Detroit Tigers,5.24
Jake Miller,Detroit Tigers,4.78
Carson Ragsdale,,4.88
Alex Williams,Miami Marlins,4.94
Max Rajcic,St. Louis Cardinals,5
Jairo Iriarte,Chicago White Sox,5.16
Shintaro Fujinami,,4.29
Alessandro Ercolani,Pittsburgh Pirates,4.96
Drake Fellows,New York Yankees,5.14
Ryan Ramsey,Kansas City Royals,5.15
Zane Mills,Boston Red Sox,4.7
Beau Burrows,Pittsburgh Pirates,4.56
Tommy Vail,Chicago White Sox,5.05
Gunnar Hoglund,Athletics,5
Jackson Jobe,Detroit Tigers,4.94
Austin Krob,,4.84
Wade Miley,,5.65
Edgar Barclay,New York Yankees,5.4
Gabriel Barbosa,Philadelphia Phillies,5.42
Joe Ross,Arizona Diamondbacks,4.44
Braeden Fausnaught,Philadelphia Phillies,5.27
Cade Winquest,New York Yankees,5.55
Ian Bedell,St. Louis Cardinals,4.9
Mitch Neunborn,Philadelphia Phillies,5.45
Alejandro Hidalgo,Minnesota Twins,5.4
Ben Peoples,Chicago White Sox,5.03
Luis Pati�o,,4.79
Dylan File,Detroit Tigers,5.35
Kyle Virbitsky,,4.82
David Leal,,4.79
Blake Townsend,Texas Rangers,4.64
John Means,Kansas City Royals,4.5
Peter Heubeck,Los Angeles Dodgers,5.5
Blake Burkhalter,Atlanta Braves,4.93
Ricky Vanasco,Detroit Tigers,4.5
Dylan DeLucia,Cleveland Indians,4.97
Logan Gillaspie,San Diego Padres,4.63
Reiss Knehr,,4.74
John Gant,,5.13
Aaron Brown,,5.11
Dane Acker,Texas Rangers,5.02
Tyler Ivey,,5.11
Osvaldo Berrios,Boston Red Sox,4.75
Andrew Quezada,,5.54
Mike Paredes,Minnesota Twins,4.59
Eric Yost,San Diego Padres,5.13
Jackson Baumeister,Tampa Bay Rays,5.3
Connor Van Scoyoc,Washington Nationals,5.14
Austin Love,St. Louis Cardinals,4.52
Michael Darrell-Hicks,Pittsburgh Pirates,4.63
Brady Feigl,,4.75
Adam Plutko,,5.35
Marcelo Perez,Seattle Mariners,5.04
Matt Manning,,5.22
Brandon Birdsell,Boston Red Sox,4.97
Cory Lewis,Minnesota Twins,5.06
Isaac Coffey,Boston Red Sox,5.09
Jimmy Endersby,,4.7
Evan Fitterer,San Diego Padres,4.91
Houston Harding,Kansas City Royals,5.05
Shane Panzini,Kansas City Royals,5.13
Wilkel Hernandez,,5.21
Adrian Sampson,,5.26
Luis Moreno,Miami Marlins,5.08
Patrick Copen,Los Angeles Dodgers,5.49
Will Schomberg,Miami Marlins,4.99
Blas Casta�o,Seattle Mariners,4.71
Roel Garcia III,Tampa Bay Rays,5.12
Abdiel Mendoza,Seattle Mariners,4.77
Jos� Ure�a,,5.22
Michael Prosecky,Colorado Rockies,5.65
Anthony Solometo,Pittsburgh Pirates,4.85
Estibenzon Jimenez,Philadelphia Phillies,5.61
Wil Crowe,,5.15
Xzavion Curry,,5.17
Brett Kerry,Kansas City Royals,5.57
Zach Messinger,New York Yankees,5.34
Bradley Blalock,Miami Marlins,5.25
Nick Sinacola,San Francisco Giants,4.84
Noah Davis,Pittsburgh Pirates,4.79
Connor Gillispie,Philadelphia Phillies,5.47
Ryan Watson,Toronto Blue Jays,5.33
Rich Hill,,5.4
Cory Wall,Atlanta Braves,4.62
Michael Morales,Seattle Mariners,4.97
Shinnosuke Ogasawara,Washington Nationals,5.04
Seth Johnson,Philadelphia Phillies,5.04
Drue Hackenberg,Atlanta Braves,5.17
Avery Short,Arizona Diamondbacks,4.78
Justin Jarvis,,5.66
Cole Winn,Texas Rangers,4.82
Jonatan Bernal,Arizona Diamondbacks,4.66
Peter Van Loon,,4.81
Roddery Mu�oz,Houston Astros,4.66
Daniel Missaki,Texas Rangers,5.25
Jose Cabrera,Arizona Diamondbacks,4.82
Jordan Geber,New York Mets,4.97
Morgan McSweeney,,4.93
Dylan Cumming,Chicago White Sox,5.45
Justin Meis,Pittsburgh Pirates,4.57
Alex Santos II,Houston Astros,4.91
Jackson Kowar,Baltimore Orioles,4.74
Harry Gustin,San Diego Padres,4.58
Bryce Conley,New York Mets,5.54
Karl Kauffmann,,5.38
JJ Goss,Athletics,5.1
Dominic Perachi,Pittsburgh Pirates,4.89
Christian Romero,Los Angeles Dodgers,5.52
Braydon Tucker,Philadelphia Phillies,5.53
Brian Moran,,4.5
Aaron Brooks,,5.31
Luis F. Castillo,,5.19
Cade Gibson,Miami Marlins,4.4
Grant Kipp,Boston Red Sox,5.08
Angel Macuare,,5.06
Sam Benschoter,Cincinnati Reds,5.6
Zach Fruit,Baltimore Orioles,5.29
Ryan Murphy,St. Louis Cardinals,5.09
Touki Toussaint,,5.14
Manuel Urias,Houston Astros,5.1
Alexander Cornielle,New York Yankees,5.68
Dustin Saenz,Washington Nationals,5.19
Nick Davila,Seattle Mariners,4.7
Jagger Haynes,San Diego Padres,5.17
Seth Lonsway,San Francisco Giants,4.82
Zach Plesac,,5.26
Andrew Bash,Minnesota Twins,4.95
Mason Albright,Colorado Rockies,5.9
Tyler Schlaffer,Boston Red Sox,5.17
Omar Cruz,San Diego Padres,4.75
Aaron Davenport,Cleveland Indians,4.97
Mason Green,Colorado Rockies,5.42
Hyun-il Choi,,5.4
Jacob Watters,Tampa Bay Rays,5.59
Nic Swanson,Houston Astros,5.06
Cesar Gomez,,4.7
Luke Fox,Los Angeles Dodgers,5.79
Chad Kuhl,,5.05
Josh Fleming,Toronto Blue Jays,4.48
Mason Erla,Kansas City Royals,5.17
Michael Arias,New York Yankees,5.25
Austin Cox,Atlanta Braves,4.82
Alec Gamboa,Boston Red Sox,5.03
Cruz Noriega,,5.07
Trace Bright,Baltimore Orioles,5.31
Wikelman Gonz�lez,Chicago White Sox,5.35
Jared Karros,Los Angeles Dodgers,5.82
Chris Kachmar,,5.16
Sean Hunley,Tampa Bay Rays,5.05
Enmanuel Pinales,San Diego Padres,5.32
Douglas Orellana,New York Mets,4.82
Oscar Rayo,Kansas City Royals,4.88
Luis Vargas,Atlanta Braves,5.11
Edgar Sanchez,Athletics,5.09
Gerson Garabito,Milwaukee Brewers,5.09
Devin Smeltzer,,5.25
Cole Percival,Minnesota Twins,5.17
Joseph Montalvo,Detroit Tigers,5.29
Joel Hurtado,Kansas City Royals,5.52
Alec Baker,Arizona Diamondbacks,4.76
Garrett Hill,,4.74
Christian Roa,Houston Astros,4.39
Chris Rodriguez,Chicago White Sox,5.54
Luke Albright,Arizona Diamondbacks,4.8
Kenny Serwa,Detroit Tigers,5.46
Kevin Abel,Cincinnati Reds,6.01
Julian Garcia,Cincinnati Reds,5.93
Roman Angelo,Arizona Diamondbacks,4.94
Jordan Mikel,,5.11
Elvin Rodr�guez,,5
Miguel Cienfuegos,San Diego Padres,4.95
Brandyn Garcia,Arizona Diamondbacks,4.39
Emmanuel Chapman,Pittsburgh Pirates,4.82
Yoniel Curet,Philadelphia Phillies,5.59
Caleb Bolden,Boston Red Sox,5.12
Drew Parrish,,5.84
Brett Wichrowski,Milwaukee Brewers,5.4
Devereaux Harrison,Toronto Blue Jays,5.24
Nate Peterson,Cincinnati Reds,5.88
Junior Santos,,5.18
Reggie Crawford,San Francisco Giants,5.21
Nick Fraze,,4.98
Ryan Garcia,,5.67
Houston Roth,Seattle Mariners,4.91
Nick Krauth,Texas Rangers,5.71
Antonio Jimenez,San Francisco Giants,4.63
Michael Cuevas,,5.38
Jake Walkinshaw,Miami Marlins,5.28
Carter Spivey,Cleveland Indians,5.05
Levi Stoudt,Philadelphia Phillies,5.43
Miguel Mendez,San Diego Padres,5.42
Rhett Kouba,Houston Astros,4.94
Victor Lizarraga,San Diego Padres,5.54
William Fleming,,5.14
Juan Mercedes,,5.16
Tyler Cleveland,Seattle Mariners,4.95
Danny Wirchansky,Seattle Mariners,5.16
Carlos Tavera,Baltimore Orioles,5.36
Nick Morreale,,4.94
Cooper Adams,Boston Red Sox,5.06
Tanner Burns,Cleveland Indians,4.77
Michael Dominguez,,5.31
Noah Song,Boston Red Sox,5.32
Misael Tamarez,San Diego Padres,5.04
Florencio Serrano,,5.68
Carlos Duran,Los Angeles Dodgers,5.75
Ryan Cusick,Philadelphia Phillies,5.56
Justin Dunn,,5.5
Joey Mancini,Houston Astros,5.19
Nick Hull,Boston Red Sox,4.99
Triston McKenzie,San Diego Padres,5.1
Ike Buxton,,5.37
Daniel Lloyd,Baltimore Orioles,5.03
Fernando Sanchez,San Diego Padres,4.92
Tyler Santana,Boston Red Sox,4.98
Jerming Rosario,Los Angeles Dodgers,5.71
Darren Bowen,Minnesota Twins,5.68
Joel Valdez,Cincinnati Reds,5.88
Ross Carver,Cleveland Indians,5.02
Jaylen Nowlin,Minnesota Twins,5.29
Bobby Milacki,,5.14
Zach Willeman,,5.59
Juan Nu�ez,Baltimore Orioles,5.74
Frank Mozzicato,Kansas City Royals,5.57
Erik Tolman,Washington Nationals,5.54
Tommy Romero,,5.29
Shane Rademacher,San Francisco Giants,5.31
Bryce Osmond,Kansas City Royals,6
Nick Garcia,Seattle Mariners,5.16
Preston Johnson,,5.09
Erian Rodriguez,Boston Red Sox,5.47
Michael Mariot,,5.19
Jordany Ventura,,5.33
Ethan Bosacker,Kansas City Royals,5.72
Jesus Cruz,,6.12
Orlando Ortiz-Mayr,Miami Marlins,5.48
Baron Stuart,New York Yankees,5.63
Luis Angel Rodriguez,Houston Astros,5.4
Casey Anderson,Arizona Diamondbacks,5.07
Gabriel Jackson,,5.18
Jarod Bayless,Pittsburgh Pirates,5.21
Parker Dunshee,,5.4
Geison Urbaez,Toronto Blue Jays,5.4
Donovan Benoit,,5.76
Nick Nastrini,Los Angeles Dodgers,5.81
Wander Guante,,5.4
Hunter Parks,Cincinnati Reds,6.28
Ryan Long,Baltimore Orioles,5.72
Jared Kollar,San Diego Padres,5.53
Jacob Meador,Los Angeles Dodgers,5.98
Logan Clayton,,5.34
Thomas Farr,Cincinnati Reds,6.33
Stiven Cruz,Milwaukee Brewers,5.35
Ryan Cardona,Cincinnati Reds,6.38
Sam Whiting,San Diego Padres,5.92
Adonis Medina,,5.71
Gabe Bierman,Miami Marlins,5.22
Connor Staine,Colorado Rockies,6.41
Adam Tulloch,Cleveland Indians,5.24
Tommy Mace,Cleveland Indians,5.31
Alonzo Richardson,Cleveland Indians,5.42
Manuel Mercedes,San Francisco Giants,5.59
Beck Way,Kansas City Royals,5.53
Luke Young,Washington Nationals,5.89
Casey Kelly,,5.23
Wyatt Olds,Boston Red Sox,5.32
Carson Rudd,,6.34
Tyler Guilfoil,Houston Astros,5.33
Arij Fransen,,6.51
Nate Savino,Arizona Diamondbacks,5.31
